"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","shouldAcceptNullPayload()","","Thu Apr 09 07:14:41 UTC 2026","passed","Thu Apr 09 07:14:41 UTC 2026","","fr.uga.im2ag.m1info.physical.MessageTest","fr.uga.im2ag.m1info.physical.MessageTest","shouldAcceptNullPayload"
"","1","migration_firstCandidate_shouldBeFailedHostPlusOneModNumPhysical(int, int, int) failed host 0 with 2 physicals → first candidate 1","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","migration_firstCandidate_shouldBeFailedHostPlusOneModNumPhysical"
"","0","nodeFailure_shouldTriggerTopologyRebuildOnSurvivors()","","Thu Apr 09 07:13:47 UTC 2026","skipped","Thu Apr 09 07:13:47 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalLayerIntegrationTest","fr.uga.im2ag.m1info.physical.PhysicalLayerIntegrationTest","nodeFailure_shouldTriggerTopologyRebuildOnSurvivors"
"","3","initialHost_shouldBeVirtualIdModNumPhysical(int, int, int, int) V0 in ring 4 with 2 physicals → initial host P0","","Thu Apr 09 07:14:38 UTC 2026","passed","Thu Apr 09 07:14:38 UTC 2026","","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","fr.uga.im2ag.m1info.virtual.VirtualNodeUnitTest","initialHost_shouldBeVirtualIdModNumPhysical"
"","4","nullAppHandlerShouldIgnoreNonVirtualMessageWithoutFailing()","","Thu Apr 09 07:14:41 UTC 2026","passed","Thu Apr 09 07:14:41 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalHostServiceUnitTest","fr.uga.im2ag.m1info.physical.PhysicalHostServiceUnitTest","nullAppHandlerShouldIgnoreNonVirtualMessageWithoutFailing"
"","2","onElection_shouldNotForwardBackToSender()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onElection_shouldNotForwardBackToSender"
"","976","initialState_bestRootShouldBeOwnId()","","Thu Apr 09 07:14:43 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","initialState_bestRootShouldBeOwnId"
"","4","onTreeParentAck_shouldAddSenderToChildren()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","onTreeParentAck_shouldAddSenderToChildren"
"","1","getStatusSummary_shouldContainPhaseAndVersion()","","Thu Apr 09 07:14:44 UTC 2026","passed","Thu Apr 09 07:14:44 UTC 2026","","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","fr.uga.im2ag.m1info.physical.SpanningTreeManagerUnitTest","getStatusSummary_shouldContainPhaseAndVersion"
"","4","sendToNeighbor_shouldPublishSerializedEnvelopeToNeighborQueue()","","Thu Apr 09 07:14:35 UTC 2026","passed","Thu Apr 09 07:14:35 UTC 2026","","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","fr.uga.im2ag.m1info.physical.PhysicalNodeUnitTest","sendToNeighbor_shouldPublishSerializedEnvelopeToNeighborQueue"
